시군구코드,시군구_x,시군구_y
47210,1098250.297006,1872531.939381
47230,1128591.687059,1777289.013408
47250,1055176.369999,1825781.931083
47280,1059469.912926,1850753.461410
47290,1117131.179642,1761795.268190
47720,1101554.602704,1798279.797343
47730,1098797.010568,1817972.041548
47750,1138046.388005,1821042.961916
47760,1144745.992376,1852540.891439
47770,1167113.353887,1830567.759347
47820,1112194.520811,1741678.215014
47830,1073126.990828,1749351.412584
47840,1069446.457800,1768325.326862
47850,1084338.460652,1780202.620894
47900,1081618.539276,1849030.675457
47920,1119856.246810,1879954.458500
47930,1168689.503934,1879018.725025
47940,1298562.091581,1949442.161525
48121,1104882.617026,1700400.363757
48123,1106966.604015,1691548.655647
48125,1093385.757073,1685302.418523
48127,1097065.445960,1693815.047970
48129,1110397.160850,1683194.918183
48170,1057251.642200,1688931.831365
48220,1082114.176530,1649510.583576
48240,1050951.902273,1668976.155591
48250,1121782.530747,1697337.978800
48270,1114890.300366,1721239.534744
48310,1103456.627662,1654861.005856
48330,1142283.569362,1711153.659994
48720,1071181.664955,1710254.839852
48730,1084448.534968,1700529.943025
48740,1089535.519474,1723360.881739
48820,1073551.297692,1668652.974289
48840,1039329.086023,1648266.968013
48850,1027321.003901,1678038.298693
48860,1036996.120951,1708387.235003
48870,1021646.345617,1728149.213808
48880,1037956.810697,1746249.016602
48890,1060000.534595,1730364.074701
50110,906410.190924,1498856.251032
50130,913249.269808,1478029.782810
