시도명,시도코드,시군구명,시군구코드,시군구_x,시군구_y
전라북도,45,고창군,45790,920265.4967450001,1717127.8034350001
전라북도,45,부안군,45800,925154.5103440001,1743514.3103349998
전라남도,46,목포시,46110,898694.9987450001,1645678.369851
전라남도,46,여수시,46130,1016010.45501,1636829.544139
전라남도,46,순천시,46150,995201.849866,1663530.58427
전라남도,46,나주시,46170,928657.554874,1667467.016332
전라남도,46,광양시,46230,1014090.54334,1666012.918942
전라남도,46,담양군,46710,952861.1558879999,1699554.930827
전라남도,46,곡성군,46720,977126.6525059999,1693231.7246969999
전라남도,46,구례군,46730,998187.814206,1692718.699549
전라남도,46,고흥군,46770,981173.9469280001,1623428.188859
전라남도,46,보성군,46780,971499.0425459999,1645543.581775
전라남도,46,화순군,46790,955362.9614110001,1668976.960648
전라남도,46,장흥군,46800,947850.579863,1625902.666259
전라남도,46,강진군,46810,933399.0453209999,1625395.283048
전라남도,46,해남군,46820,910004.599549,1616643.729789
전라남도,46,영암군,46830,919146.9092100001,1645804.108953
전라남도,46,무안군,46840,902144.227303,1662299.0244389998
전라남도,46,함평군,46860,912298.0647229999,1679285.23566
전라남도,46,영광군,46870,905180.487836,1699418.406091
전라남도,46,장성군,46880,933911.061732,1701811.5114129998
전라남도,46,완도군,46890,933438.747175,1590185.958445
전라남도,46,진도군,46900,883416.6370819999,1606100.7479690001
전라남도,46,신안군,46910,870003.290973,1648953.504354
경상북도,47,남구,47111,1173823.9415799999,1778335.7734
경상북도,47,북구,47113,1162254.982742,1792116.545818
경상북도,47,경주시,47130,1157199.494206,1761313.169414
경상북도,47,김천시,47150,1055042.0220940001,1789723.375178
경상북도,47,안동시,47170,1109243.579295,1843245.8962349999
경상북도,47,구미시,47190,1076968.945899,1797735.88409
경상북도,47,영주시,47210,1098250.2970059998,1872531.9393810001
경상북도,47,영천시,47230,1128591.687059,1777289.013408
경상북도,47,상주시,47250,1055176.3699989999,1825781.9310830003
경상북도,47,문경시,47280,1059469.912926,1850753.4614099998
경상북도,47,경산시,47290,1117131.179642,1761795.2681900002
경상북도,47,군위군,47720,1101554.6027040002,1798279.797343
경상북도,47,의성군,47730,1098797.0105680001,1817972.041548
경상북도,47,청송군,47750,1138046.3880049998,1821042.961916
경상북도,47,영양군,47760,1144745.992376,1852540.891439
경상북도,47,영덕군,47770,1167113.3538870001,1830567.7593470002
경상북도,47,청도군,47820,1112194.5208110001,1741678.215014
경상북도,47,고령군,47830,1073126.990828,1749351.412584
경상북도,47,성주군,47840,1069446.4578,1768325.326862
경상북도,47,칠곡군,47850,1084338.460652,1780202.620894
경상북도,47,예천군,47900,1081618.539276,1849030.675457
경상북도,47,봉화군,47920,1119856.24681,1879954.4585
경상북도,47,울진군,47930,1168689.503934,1879018.725025
경상북도,47,울릉군,47940,1298562.091581,1949442.161525
경상남도,48,의창구,48121,1104882.617026,1700400.363757
경상남도,48,성산구,48123,1106966.604015,1691548.6556469998
경상남도,48,마산합포구,48125,1093385.7570729998,1685302.4185229999
경상남도,48,마산회원구,48127,1097065.44596,1693815.0479700002
경상남도,48,진해구,48129,1110397.16085,1683194.918183
경상남도,48,진주시,48170,1057251.6422,1688931.831365
경상남도,48,통영시,48220,1082114.1765299998,1649510.583576
경상남도,48,사천시,48240,1050951.902273,1668976.1555909999
경상남도,48,김해시,48250,1121782.530747,1697337.9788
경상남도,48,밀양시,48270,1114890.300366,1721239.5347439998
경상남도,48,거제시,48310,1103456.627662,1654861.005856
경상남도,48,양산시,48330,1142283.569362,1711153.659994
경상남도,48,의령군,48720,1071181.664955,1710254.8398520001
경상남도,48,함안군,48730,1084448.5349680001,1700529.943025
경상남도,48,창녕군,48740,1089535.519474,1723360.8817389999
경상남도,48,고성군,48820,1073551.297692,1668652.974289
경상남도,48,남해군,48840,1039329.086023,1648266.968013
경상남도,48,하동군,48850,1027321.003901,1678038.298693
경상남도,48,산청군,48860,1036996.120951,1708387.2350030001
경상남도,48,함양군,48870,1021646.345617,1728149.213808
경상남도,48,거창군,48880,1037956.8106969999,1746249.016602
경상남도,48,합천군,48890,1060000.534595,1730364.0747009998
제주특별자치도,50,제주시,50110,906410.190924,1498856.251032
제주특별자치도,50,서귀포시,50130,913249.269808,1478029.78281
