기간	자치구	계	계	계	자연공원	자연공원	자연공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	기타공원	기타공원	기타공원
기간	자치구	계	계	계	자연공원	자연공원	자연공원	소계	소계	소계	어린이공원	어린이공원	소공원	소공원	근린공원	근린공원	근린공원	도시자연공원	도시자연공원	도시자연공원	묘지공원	묘지공원	문화공원	문화공원	체육공원	체육공원	역사공원	역사공원	수변공원	수변공원	생태공원	생태공원	가로공원	가로공원	기타공원	기타공원	기타공원
기간	자치구	공원수	(중복)	면적	공원수	(중복)	면적	공원수	(중복)	면적	공원수	면적	공원수	면적	공원수	(중복)	면적	공원수	(중복)	면적	공원수	면적	공원수	면적	공원수	면적	공원수	면적	공원수	면적	공원수	면적	공원수	면적	공원수	(중복)	면적
2018	강남구	155	2	6,591.7	-	-	-	142	2	5,302.0	62	99.5	16	28.4	59	-	2,580.2	-	2	2,449.8	-	-	1	34	-	-	2	96.1	2	14.1	-	-	-	-	13	-	1,289.7
2018	송파구	168	1	4,642.1	-	-	-	155	-	2,034.2	87	151.5	10	28.2	55	-	1,774.8	-	-	-	-	-	-	-	-	-	2	75.4	1	4.3	-	-	-	-	13	1	2,607.9
2018	강동구	124	1	3,370.0	-	-	-	115	1	2,827.7	62	133.8	17	22.3	30	-	1,805.7	1	1	713.4	-	-	1	0.8	-	-	1	110.2	3	41.5	-	-	-	-	9	-	542.2
2018	서울대공원	1	-	6,670.0	-	-	-	1	-	6,670.0	-	-	-	-	1	-	6,670.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2019	합계	2,868	33	168,896.8	1	5	37,345.0	2,214	25	115,481.0	1,262	2,194.3	412	616.7	407	13	45,438.1	20	12	63,101.1	4	2,377.9	59	766.2	6	183.2	19	497.2	14	227.2	1	51.1	10	27.9	653	3	16,070.8
2019	종로구	106	2	11,556.1	-	1	4,998.0	69	1	6,433.0	24	60.5	16	22	22	-	2,497.5	2	1	3,734.1	-	-	3	9.6	-	-	2	109.4	-	-	-	-	-	-	37	-	125.1
2019	중구	73	2	3,155.1	-	-	-	59	2	3,082.7	16	33.6	28	25.4	6	2	1,176.7	1	-	1,785.1	-	-	3	5.8	1	29.7	4	26.3	-	-	-	-	-	-	14	-	72.5
2019	용산구	110	1	1,779.6	-	-	-	71	1	763.1	23	41.6	30	53.7	7	1	607.3	-	-	-	-	-	6	39.5	-	-	3	17.5	-	-	-	-	2	3.5	39	-	1,016.4
2019	성동구	86	1	3,100.0	-	-	-	64	1	1,257.1	32	55.8	16	16.6	10	1	1,082.7	-	-	-	-	-	2	90.4	1	2.8	-	-	-	-	-	-	3	8.8	22	-	1,843.0
2019	광진구	60	2	3,363.5	-	-	-	44	1	2,916.4	35	39	8	9.7	1	-	560.6	-	1	2,307.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	16	1	447.1
2019	동대문구	95	1	1,275.1	-	-	-	79	1	1,033.0	42	81.6	23	40.5	11	1	901.2	-	-	-	-	-	-	-	-	-	1	3.9	-	-	-	-	2	5.9	16	-	242.1
2019	중랑구	101	-	5,205.3	-	-	-	64	-	5,022.6	44	59	9	18.6	9	-	1,311.6	1	-	2,800.6	1	832.8	-	-	-	-	-	-	-	-	-	-	-	-	37	-	182.7
2019	성북구	133	5	8,329.4	-	1	3,864.0	80	4	4,407.0	36	91.6	27	29.9	11	3	1,993.8	1	1	2,276.2	-	-	3	10.9	-	-	1	2.8	1	1.8	-	-	-	-	53	-	58.4
